508,DTLA^,Brookfield DTLA Inc.,US,stock,100
509,INF,Brookfield Global Listed Infrastructure Income Fund,US,stock,100
510,HHY,Brookfield High Income Fund Inc.,US,stock,100
511,BIP,Brookfield Infrastructure Partners LP,US,stock,100
512,BOI,Brookfield Mortgage Opportunity Income Fund Inc.,US,stock,100
513,BPY,Brookfield Property Partners L.P.,US,stock,100
514,BEP,Brookfield Renewable Powerr Fund,US,stock,100
515,HTR,Brookfield Total Return Fund Inc.,US,stock,100
516,BRO,Brown & Brown,,,100
517,BF.A,Brown Forman Corporation,US,stock,100
518,BF.B,Brown Forman Corporation,US,stock,100
519,BRT,BRT Realty Trust,US,stock,100
520,BC,Brunswick Corporation,US,stock,100
521,BT,BT Group plc,US,stock,100
522,BPL,Buckeye Partners L.P.,US,stock,100
523,BKE,Buckle,,,100
524,BVN,Buenaventura Mining Company Inc.,US,stock,100
525,BBW,Build-A-Bear Workshop,,,100
526,BG,Bunge Limited,US,stock,100
527,BURL,Burlington Stores,,,100
528,BWXT,BWX Technologies,,,100
529,CJES,C&J Energy Services,,,100
530,BCR,C.R. Bard,,,100
531,BNK,C1 Financial,,,100
532,GYB,CABCO Series 2004-101 Trust,US,stock,100
533,PFH,CABCO Series 2004-101 Trust,US,stock,100
534,CAB,Cabela&#39;s Inc,US,stock,100
535,CABO,Cable One,,,100
536,CVC,Cablevision Systems Corporation,US,stock,100
537,CBT,Cabot Corporation,US,stock,100
538,COG,Cabot Oil & Gas Corporation,US,stock,100
539,CACI,CACI International,,,100
540,CAE,CAE Inc,US,stock,100
541,CAI,CAI International,,,100
542,CAA,CalAtlantic Group,,,100
543,CAL,Caleres,,,100
544,CCC,Calgon Carbon Corporation,US,stock,100
545,CRC,California Resources Corporation,US,stock,100
546,CWT,California Water  Service Group Holding,US,stock,100
547,CALX,Calix,,,100
548,ELY,Callaway Golf Company,US,stock,100
549,CPE,Callon Petroleum Company,US,stock,100
550,CPE^A,Callon Petroleum Company,US,stock,100
551,CPN,Calpine Corporation,US,stock,100
552,CBM,Cambrex Corporation,US,stock,100
553,CPT,Camden Property Trust,US,stock,100
554,CCJ,Cameco Corporation,US,stock,100
555,CAM,Cameron International Corporation,US,stock,100
556,CPB,Campbell Soup Company,US,stock,100
557,CCG,Campus Crest Communities,,,100
558,CCG^A,Campus Crest Communities,,,100
559,CM,Canadian Imperial Bank of Commerce,US,stock,100
560,CNI,Canadian National Railway Company,US,stock,100
561,CNQ,Canadian Natural Resources Limited,US,stock,100
562,CP,Canadian Pacific Railway Limited,US,stock,100
563,CAJ,Canon,,,100
564,CMN,Cantel Medical Corp.,US,stock,100
565,COF,Capital One Financial Corporation,US,stock,100
566,COF.WS,Capital One Financial Corporation,US,stock,100
567,COF^C,Capital One Financial Corporation,US,stock,100
568,COF^D,Capital One Financial Corporation,US,stock,100
